filename;location;description
# PHOTOS - Select your best 20-25 photos;;
0E6699ED-040C-464A-9085-15A167F66066.JPG;Qsar Ghilen;The Resturant of Oasis Camp built by the local
2B22DC46-C38E-47EF-BD4D-10EFA1F6C09A.JPG;"34¡17'22.2""N 9¡23'25.1""E (Bel Khir // Ardh El Talah)";This place is famous of being one of the last places in Tunisia where you can still find Acacia Radia the iconic tree of the Savannah
2E3996FD-DE6B-4896-A7DF-3808BF6C963F.JPG;Qsar ghilen;Istalled Audio Recorder on a tree
3B7CDF5B-2EBB-4899-85E6-7CA4761D9E61.JPG;Qsar ghilen;The Sand dunes
4A99F67B-DE86-494D-ABE2-FBE6FC150B82.JPG;The Archiological site of Qsar Ghilen;A sticker show the Caracal, one of the species that we want to track in the future
4F263E3E-8F55-4C0F-B7A8-CE6E06CF1822.JPG;The Sand dunes of. Qsar Ghilen;A weevil attracted to a trap light we put in the sand dunes
6B93325B-39A7-4B3C-9ECC-1DAD858FED0D.JPG;"33¡32'30.1""N 9¡58'23.2""E (Old Matmata";The troglodyte house we stayed in in Matmata
6FE6FEC9-12C6-48EC-B5D6-FC3BBFC8972E.JPG;Qsar Ghilen dunes;A plant in the desert with its flowers
6FF093B9-26D2-4173-B80E-4E4958491D7C.JPG;Qsar Ghilen hotspot;Beautiful Qsar Ghilen hotspot
7D47D289-A73D-4873-B99B-EFE83D279813.JPG;Qsar Ghilen dunes;Hawk moths
008DA802-ADDD-469E-9045-8A9522FDC5EE.JPG;The Archiological site of Qsar Ghilen;Desert sparrow (Moineau blanc)
14C4FE42-313B-4E2E-9358-A7BF64BD9A53.JPG;"Old Matmata) 33¡32'33.4""N 9¡58'01.2""E";Star wars site
8B869404-A8D7-4654-B235-67AA16D16020.JPG;Qsar Ghilen ;Me installing an audio recorder
60B6BA7C-FED4-4488-9965-DEDADA25E867.JPG;"33¡32'30.1""N 9¡58'23.2""E (Old Matmata";The beds in the trogolodyte house
49E997E7-31AF-42EC-86E9-EDB0CE209FB0.JPG;"33¡32'30.1""N 9¡58'23.2""E (Old Matmata";Troglodyte house
46AEF764-337D-4B83-B73C-5D15FA209D2A.JPG;Qsar Ghilen;The tent we slept in
63AF720D-9140-4396-ABC9-5E784EDF7EE7.JPG;Qsar Ghilen;Talking with Am Ali
68A7D07F-01F2-4413-9633-C9380FF9BB47.JPG;Qsar Ghilen dunes;A rare beetle driven by the light trap we have made
77EB4A28-A6BA-4AF0-9387-F10AEDDB6D0D.JPG;Qsar Ghilen dunes;The light trap
5052E3AD-A70C-4DEC-B910-75B7F423FDA0.JPG;Qsar Ghilen;A beautiful mantis
020944D8-EB13-421F-8BBC-F324FA706BE7.JPG;The Archiological site of Qsar Ghilen;A bird
8801804A-0A9E-4CA2-955B-225BB21ACEFD.JPG;"33¡32'30.1""N 9¡58'23.2""E (Old Matmata";me
71476132-E362-4927-8067-202DE53B943E.JPG;The Archiological site of Qsar Ghilen;Transcripts in latin
ABA1610B-DB82-464A-A92A-D7D91F54014B.JPG;Qsar Ghilen dunes;Me sitting in front of the light trap
AEA53600-4EF0-407F-BD39-C544B9E85313.JPG;Qsar Ghilen dunes;Hawk moths
BD1B2E79-285C-4C84-B234-0CE7BE91B4F5.JPG;Qsar Ghilen dunes;another moth
CAC284D2-B58E-4697-97FA-7B0FEBC755D9.JPG;"33¡32'30.1""N 9¡58'23.2""E (Old Matmata";Troglodyte house
C56B2D19-3C11-473E-BED9-0DB8A6BF078C.JPG;Qsar Ghilen dunes;me in the desert
CBC9E301-E92B-428C-9560-607A6702910F.JPG;Qsar Ghilen;The audio recorder
CF11D2FB-5BAE-488F-A83A-3F45D6E19519.JPG;"Old Matmata) 33¡32'33.4""N 9¡58'01.2""E";Star wars site
D13F3973-0F20-4E9F-BB4B-23C628ECD9E1.JPG;Qsar Ghilen dunes;Wael the antomologist walking the sand dunes
D036FC7A-6CFF-4D65-BFA6-DCBD69CC58C3.JPG;Qsar Ghilen dunes;the light trap
IMG_8529.JPG;Qsar Ghilen;Am Ali the local
;;
;;
# VIDEOS - Select your best 10-12 videos;;
;;
1A1E7291-D6B6-4013-95DB-4F7FE4504F3E.MP4;Qsar Ghilen;2 doves reproducing
1A9C054A-4DAC-42AA-BE50-CCDD040F889F.MP4;Qsar Ghilen;A Calm moment from Ksar Ghilen hot spot
3C8679C1-A273-452B-92B5-405D7B944193.MP4;"33¡00'52.6""N 9¡42'51.5""E (road to douz)";Motocucles passing by our car, this is a reminder of the rish hisotyry of the area when Rally Dakar was happening before
3EDC1F93-70B5-4BA9-99E7-4FC40FAFCD9F.MP4;Qsar Ghilen sand dunes;Driving offroad
5B5B44B2-606C-4A83-8A9A-E2B7BD678E48.MP4;Qsar Ghilen;Am ali showing how to cook Mella Bread
5D8BEC6D-34D4-492F-B890-72BCDDEBD4AA.MP4;"Road (33¡21'21.6""N 9¡43'19.2""E)";Camels on the road
8B7106ED-745A-423C-9724-758A6894A95E.MP4;"33¡23'09.2""N 10¡01'46.9""E (Kef el Boum) which translate to the Kilf of the owl";An owl standing on the a pole on the road
55CAB540-0ED7-4D1E-A216-BA7C9DC28DBC.MP4;"33¡33'46.4""N 9¡59'30.8""E";Road that is beautiful
72CF0C8F-4B05-44F9-AD51-04A94AA357CF.MP4;Qsar Ghilen;Egrettes enjoying a spot of water in the desert
251C3A5B-A860-47C4-AAD8-6DF3245022AB.MP4;Qsar Ghilen;A raptor
521A298C-D730-4A4A-90A3-F73748C50357.MP4;"Old Matmata) 33¡32'33.4""N 9¡58'01.2""E";A museum of Star wars
797F037E-5A86-4827-BA9F-F3EDA427451B.MP4;Qsar Ghilen dunes;We got stuck in the desert
873B588D-9A9E-489F-B8DE-166799E4141E.MP4;Qsar Ghilen dunes;Long horn beetle we found
5602C463-F584-4005-9744-78AF5F80D1C3.MP4;Chot El Fejej (33.996270, 9.132034);Very nice drive along the chot el Fejaj
99368EC0-7107-4070-9714-CA39A4D752DF.MP4;Techine (33.476851, 10.001957) ;Very beautiful small city
32325210-1506-4658-A734-5B561CD107C5.MP4;Qsar Ghilen dunes;Slow motion movement of moth wings
F1964D8E-6E5E-443A-8DF3-D9F89F433EB3.MP4;Qsar Ghilen dunes;Driving quads and the effect of pressure of humans on biodiversity
